longitude,latitude,altitude,distance_from_boundarycentre
73.56977,18.867773,-30.82,3419.4
73.569756,18.867746,-30.96,3420.7
73.56974,18.867722,-31.11,3421.8
73.569725,18.867695,-33.54,3423.0
73.56971,18.86767,-33.69,3424.1
73.569695,18.867643,-33.86,3425.4
73.56968,18.867617,-34.09,3426.7
73.569664,18.86759,-34.33,3427.9
73.56965,18.867561,-31.2,3429.4
73.56963,18.867533,-31.33,3430.8
73.56962,18.867506,-31.49,3432.1
73.5696,18.86748,-31.7,3433.4
73.56959,18.86745,-31.75,3434.9
73.56957,18.867424,-31.85,3436.2
73.569565,18.867395,-31.97,3438.1
73.56955,18.867369,-28.73,3439.4
73.569534,18.86734,-25.42,3440.9
73.56952,18.867311,-22.07,3442.4
73.5695,18.867285,-25.22,3443.7
73.56949,18.867256,-25.19,3445.1
73.56947,18.86723,-25.17,3446.5
73.56946,18.867203,-24.87,3447.8
73.56944,18.867176,-24.81,3449.1
73.56943,18.86715,-24.73,3450.4
73.56941,18.867123,-21.39,3451.7
73.5694,18.867096,-21.38,3453.1
73.569374,18.86707,-21.38,3453.9
73.56936,18.867044,-24.22,3455.1
73.56934,18.867018,-23.95,3456.4
73.56932,18.866995,-20.7,3456.9
73.569305,18.86697,-20.57,3458.1
73.56929,18.866947,-20.76,3459.1
73.569275,18.866924,-20.6,3460.1
73.56926,18.866901,-20.53,3461.1
73.569244,18.866877,-23.74,3462.3
73.56922,18.866852,-27.09,3463.0
73.56921,18.866825,-30.59,3464.4
73.5692,18.8668,-31.35,3466.1
73.56918,18.866774,-28.48,3467.4
73.56917,18.866747,-28.49,3468.8
73.56915,18.86672,-28.5,3470.2
73.56914,18.866693,-28.43,3471.5
73.56913,18.866667,-28.67,3473.4
73.569115,18.866642,-28.74,3474.6
73.5691,18.866615,-28.66,3476.0
73.56909,18.866589,-25.31,3477.9
73.56908,18.86656,-24.93,3479.4
73.56906,18.866533,-24.42,3480.8
73.569046,18.866507,-27.56,3482.2
73.56903,18.86648,-30.68,3483.6
73.569016,18.866455,-30.61,3484.8
73.569,18.86643,-30.55,3486.0
73.568985,18.866404,-30.56,3487.4
73.56897,18.866379,-30.41,3488.7
73.56895,18.866352,-30.32,3489.6
73.56893,18.866325,-33.33,3491.0
73.56892,18.8663,-33.28,3492.2
73.5689,18.866274,-33.2,3493.6
73.568886,18.866247,-33.11,3495.1
73.56887,18.86622,-33.0,3496.5
73.568855,18.866194,-32.91,3497.9
73.56884,18.866167,-32.83,3499.3
73.568825,18.86614,-32.64,3500.8
73.56882,18.866112,-32.66,3502.8
73.5688,18.866085,-32.68,3504.3
73.56879,18.866058,-32.76,3505.7
73.56876,18.866034,-32.75,3506.5
73.56875,18.866009,-32.83,3507.8
73.56873,18.865982,-32.86,3509.2
73.56872,18.865961,-32.9,3510.1
73.5687,18.865936,-32.93,3511.4
73.56869,18.865911,-32.94,3512.7
73.56867,18.865887,-32.94,3514.0
